iter	Passed	Remaining
873	106873	1062874	106874	1063875	106875	1065876	106876	1066877	106877	1067878	106878	1068879	106879	1070880	106880	1071881	106881	10724	1434
882	1073883	107883	10744	1409
884	10758	1398
885	10767	1385
886	10775	1372
887	10785	1360
888	10799	1348
889	10813	1336
890	10829	1324
891	10849	1313
892	10856	1300
893	10866	1288
894	10876	1276
895	10889	1263
896	10900	1251
897	10909	1239
898	10920	1226
899	10931	1214
900	10940	1202
901	10946	1189
902	10956	1176
903	10967	1164
904	10979	1152
905	10991	1140
906	11003	1128
907	11016	1116
908	11021	1103
909	11033	1091
910	11043	1078
911	11058	1067
912	11069	1054
913	11086	1043
914	11098	1031
915	11113	1019
916	11122	1006
917	11131	994
918	111919	111919	11153	969
920	11167	957
921	11179	945
922	11191	933
923	11202	921
924	11213	909
925	11223	896
926	11230	884
927	11242	872
928	11258	860
929	11264	847
930	11276	835
931	11282	823
932	11295	811
933	11310	799
934	11324	787
935	11332	774
936	11343	762
937	11353	750
938	11362	738
939	11372	725
940	11377	713
941	11387	701
942	113943	113943	114944	113944	114945	11412	651
946	11428	639
947	11442	627
948	11450	615
949	11461	603
950	11474	591
951	11486	579
952	11498	567
953	11504	554
954	11514	542
955	11521958	1956	11528959	1957	11543	506
958	11548961	11563	456
962	11577	444
963	11592	432
964	11600	4296965	1963	116963	11630	434
964	11645	422
96968	11641	37966	11665	398
967	11684	386
968	11692	374
969	11703	361
970	11712	349
971	11726	337
972	11738	325
973	11750	313
974	11765	301
975	117976	117976	117977	117977	117978	117978	118979	11803	240
980	11819	228
981	11835	216
982	11843	204
983	11860	192
984	11890	181
985	11908	169
986	11953	157
987	11961	145
988	11972	133
989	11976	120
990	11980	108
991	11984	96
992	11988	84
993	11991	72
994	11994	60
995	11997	48
996	12000	36
997	12003	24
998	12006	12
999	12010	0
	0
2	0
